school_year,building_id,teacher_count,paid_quantity,order_amount
2017,600031146,1,1020,3182.4
2017,600031147,4,674,3596
2017,600031149,23,927,3813.99
2017,600031151,2,175,503.5
2017,600031156,1,100,440
2017,600031164,1,25,137.5
2017,600031166,2,74,388.5
2017,600031176,2,40,220
2017,600031178,1,32,103.84
2017,600031179,5,284,902.08
2017,600031184,1,32,251.2
2017,600031187,12,492,1641.64
2017,600031193,1,218,1199
2017,600031196,7,228,739.86
2017,600031197,1,60,239.8
2017,600031199,2,132,635.8
2017,600031200,2,76,246.62
2017,600031208,1,552,3036
2017,600031211,23,522,2871.5
2017,600031214,13,557,1838.44
2017,600031215,4,562,3848.4
2017,600031220,4,441,1868.52
2017,600031221,0,2075,10371
2017,600031223,31,1336,5827.74
2017,600031226,7,187,981.75
2017,600031233,7,188,753.58
2017,600031238,1,345,1832.5
2017,600031247,1,46,361.1
2017,600031251,3,63,281.02
2017,600031256,1,75,412.5
2017,600031278,6,260,1024.1
2017,600031294,1,40,314
2017,600031297,1,4,42.22
2017,600031300,1,110,605
2017,600031302,2,76,317.64
2017,600031304,1,573,2094.63
2017,600031305,4,104,572
2017,600031306,2,195,1047.5
2017,600031308,28,558,3687.45
2017,600031311,3,280,1470
2017,600031318,1,100,440
2017,600031319,4,160,519.2
2017,600031320,12,224,1176.84
2017,600031321,3,104,324.48
2017,600031327,42,1280,4715.8
2017,600031328,3,66,363
2017,600031331,1,156,486.72
2017,600031358,2,80,259.6
2017,600031417,3,124,515.13
2017,600031419,2,44,222.2
2017,600031425,2,76,246.62
2017,600031428,5,157,859.43
2017,600031429,6,212,1223.94
2017,600031434,1,12,42
2017,600031436,1,30,165
2017,600031439,8,280,360.72
2017,600031441,4,116,576.95
2017,600031443,4,162,640.75
2017,600031445,11,314,1299.76
2017,600031448,3,102,650.64
2017,600031449,5,145,883.19
2017,600031451,1,28,154
2017,600031453,2,90,292.05
2017,600031455,1,16,79.84
2017,600031456,1,50,165
2017,600031458,14,324,1782
2017,600031460,2,110,561.9
2017,600031461,4,266,943.37
2017,600031462,13,786,2755.06
2017,600031466,10,305,2168.14
2017,600031468,15,475,2574.8
2017,600031470,1,21,115.5
2017,600031473,5,150,825
2017,600031476,1,20,62.4
2017,600031477,1,28,154
2017,600031482,4,265,1391.25
2017,600031484,3,75,393.75
2017,600031488,1,90,216.9
2017,600031491,1,32,144
2017,600031514,9,225,1274.75
2017,600031515,4,126,550.74
2017,600031517,5,116,516.16
2017,600031519,2,28,198.9
2017,600031522,3,167,796.39
2017,600031526,11,309,1816.02
2017,600031531,4,295,1492.15
2017,600031535,11,275,1443.75
2017,600031537,2,60,330
2017,600031551,1,285,1567.5
2017,600031560,1,200,649
2017,600031581,2,94,305.03
2017,600031583,1,30,99
2017,600031586,10,295,1532.3
2017,600031593,2,92,177.6
2017,600031603,1,50,324.75
2017,600031606,2,29,93.5
2017,600031607,8,326,1289.33
2017,600031608,5,134,679.8
2017,600031611,4,115,626.25
2017,600031612,12,420,2310
2017,600031614,7,198,963.01
2017,600031616,9,320,1419.2
2017,600031617,10,830,3164.7
2017,600031623,7,415,2282.5
2017,600031625,4,81,445.5
2017,600031637,2,71,276.26
2017,600031647,1,69,172.04
2017,600031685,6,117,614.25
2017,600031711,3,160,498.3
2017,600031732,1,515,0
2017,600031749,1,360,1430.45
2017,600031798,5,123,477.63
2017,600031862,1,20,110
2017,600031868,8,214,1209.3
2017,600031869,15,642,2656.06
2017,600031870,17,545,2546.5
2017,600031872,18,876,3098.84
2017,600031874,0,73,401.5
2017,600031877,9,319,1718.08
2017,600031881,24,926,4605.92
2017,600031904,11,449,2868.65
2017,600031905,11,355,1610.52
2017,600031907,3,192,609.85
2017,600031909,17,523,3114.8
2017,600031912,1,30,209.7
2017,600031915,1,70,0
2017,600031928,2,85,332.2
2017,600031929,9,372,0
2017,600031934,0,470,0
2017,600031935,1,979,3345.98
2017,600031936,2,40,220
2017,600031937,15,542,0
2017,600031940,0,610,0
2017,600031942,2,45,0
2017,600031946,1,130,350.35
2017,600031947,5,425,2408
2017,600031949,8,1005,17020.8
2017,600031953,4,240,1906.4
2017,600031967,1,1,0
2017,600031969,1,320,1680
2017,600031974,3,97,305.8
2017,600031985,1,17,127.33
2017,600031991,3,360,1980
2017,600032001,1,290,941.05
2017,600032003,1,30,165
2017,600032006,2,115,361.9
2017,600032012,2,50,214.5
2017,600032015,1,10,26.6
2017,600032016,1,30,165
2017,600032019,2,104,238.7
2017,600032025,6,294,742.5
2017,600032027,3,128,616.52
2017,600032028,4,291,1738.05
2017,600032029,6,400,2187
2017,600032030,15,888,3171.64
2017,600032031,1,355,165
2017,600032035,8,515,1926.75
2017,600032037,1,260,843.7
2017,600032038,8,288,1287.64
2017,600032040,1,570,2956.5
2017,600032047,2,135,827.13
2017,600032050,10,580,1990.05
2017,600032051,1,30,165
2017,600032052,20,694,2069.91
2017,600032078,1,10,47.3
2017,600032081,9,433,2065.41
2017,600032084,1,475,2612.5
2017,600032085,1,500,2789.9
2017,600032093,6,1527,4276.36
2017,600032094,1,2,11.49
2017,600032095,3,74,407
2017,600032097,1,40,210
2017,600032099,5,450,1122
2017,600032104,2,70,0
2017,600032105,9,321,1585
2017,600032107,2,65,432.25
2017,600032109,1,11,82.39
2017,600032110,1,23,126.5
2017,600032111,2,76,399
2017,600032112,13,480,3332.4
2017,600032114,1,560,3112.2
2017,600032115,18,625,3218.95
2017,600032116,0,296,2006.95
2017,600032117,6,318,1237.71
2017,600032124,1,20,99.8
2017,600032126,1,35,279.65
2017,600032131,6,156,819
2017,600032134,0,650,2189.45
2017,600032135,0,156,650.05
2017,600032139,14,678,2860.31
2017,600032141,2,75,244.64
2017,600032143,2,290,1390.5
2017,600032148,1,20,149.8
2017,600032151,1,30,99
2017,600032153,1,30,99
2017,600032154,4,95,458.65
2017,600032156,1,60,330
2017,600032157,3,150,484.9
2017,600032158,1,112,316.7
2017,600032160,18,446,2453
2017,600032163,1,32,105.6
2017,600032164,3,70,297.9
2017,600032165,2,37,122.02
2017,600032166,22,1036,3361.82
2017,600032167,1,90,216.9
2017,600032168,4,103,566.5
2017,600032176,1,60,0
2017,600032178,3,337,1332
2017,600032179,5,239,831.93
2017,600032181,1,40,129.8
2017,600032185,2,48,273
2017,600032186,6,257,785.29
2017,600032187,6,97,398.2
2017,600032188,4,112,728.25
2017,600032191,5,125,687.5
2017,600032214,1,1390,2853
2017,600032216,1,24,114
2017,600032217,18,946,5089.36
2017,600032224,15,377,2106.75
2017,600032225,2,79,0
2017,600032226,18,428,2729.02
2017,600032227,5,298,0
2017,600032230,7,259,875.49
2017,600032231,19,555,2799.86
2017,600032232,1,401,2535.54
2017,600032233,5,210,779.21
2017,600032234,2,30,157.5
2017,600032239,20,907,194.4
2017,600032241,2,64,352
2017,600032246,11,260,1678.75
2017,600032250,1,80,393.8
2017,600032270,5,360,2780.35
2017,600032271,2,280,2722.2
2017,600032272,2,250,2497.5
2017,600032291,2,102,424.74
2017,600032297,1,496,1609.52
2017,600032301,1,30,165
2017,600032305,1,20,143.4
2017,600032306,9,195,1067.5
2017,600032327,3,755,3799.4
2017,600032330,2,785,3298.3
2017,600032333,4,127,572.22
2017,600032334,4,100,0
2017,600032337,1,70,506.8
2017,600032349,2,52,286
2017,600032352,4,188,1034
2017,600032353,16,480,2699.7
2017,600032355,2,69,271.26
2017,600032357,0,340,1576.85
2017,600032358,1,1,19.99
2017,600032359,15,861,3325.5
2017,600032365,12,431,0
2017,600032372,2,20,77.9
2017,600032376,2,60,569.4
2017,600032383,2,40,220
2017,600032384,16,805,2543.55
2017,600032385,5,154,1109.6
2017,600032388,11,305,1296.25
2017,600032393,9,198,0
2017,600032398,3,89,452.7
2017,600032399,1,30,235.5
2017,600032401,1,10,33
2017,600032404,1,30,157.5
2017,600032412,5,652,2866.19
2017,600032414,9,437,1712.91
2017,600032415,1,20,105
2017,600032419,1,14,57.92
2017,600032421,2,49,263.25
2017,600032423,1,34,187
2017,600032428,5,65,312.15
2017,600032431,2,220,1262.1
2017,600032434,2,55,295.75
2017,600032435,9,170,0
2017,600032436,1,60,194.7
2017,600032445,1,18,99
2017,600032460,21,725,4120.36
2017,600032463,13,307,1473.6
2017,600032471,1,344,1939
2017,600032473,2,22,172.7
2017,600032474,5,197,723.58
2017,600032475,18,384,2112
2017,600032480,1,350,1925
2017,600032481,1,175,962.5
2017,600032484,4,105,436
2017,600032486,24,1395,3906.53
2017,600032491,12,262,864.6
2017,600032495,6,152,729.6
2017,600032503,1,44,137.28
2017,600032506,7,283,1064.67
2017,600032509,2,50,275
2017,600032510,1,25,137.5
2017,600032512,17,422,2321
2017,600032514,6,121,580.8
2017,600032517,1,30,165
2017,600032520,20,491,0
2017,600032521,11,631,3249.3
2017,600032523,3,177,585.64
2017,600032529,0,698,2265.01
2017,600032530,17,386,2186.8
2017,600032531,18,1392,4134.6
2017,600032535,10,266,0
2017,600032536,13,290,1595
2017,600032537,8,319,134.64
2017,600032539,7,512,1661.44
2017,600032540,2,35,192.5
2017,600032549,5,300,286
2017,600032554,1,2,0
2017,600032556,1,195,312
2017,600032561,11,382,0
2017,600032563,2,102,0
2017,600032564,1,19,104.5
2017,600032566,8,705,3902
2017,600032575,6,360,1123.2
2017,600032576,8,283,1067.3
2017,600032578,7,280,1540
2017,600032579,1,105,281.25
2017,600032587,1,10,89.83
2017,600032592,4,445,0
2017,600032602,6,185,971.25
2017,600032603,7,392,1223.04
2017,600032604,1,20,173.4
2017,600032608,11,718,2271.91
2017,600032614,1,130,715
2017,600032618,2,630,2354.4
2017,600032627,11,252,1323
2017,600032632,19,443,2325.75
2017,600032639,8,190,1030
2017,600032645,4,58,304.5
2017,600032649,5,370,2602.15
2017,600032659,4,174,617.26
2017,600032668,1,15,82.5
2017,600032670,3,52,242
2017,600032677,2,59,219.61
2017,600032678,9,200,822.96
2017,600032682,2,40,164.7
2017,600032684,10,376,1220.12
2017,600032689,6,126,770.2
2017,600032690,1,10,55
2017,600032695,2,68,391.8
2017,600032724,1,60,194.7
2017,600032725,2,12,49.9
2017,600032729,2,112,879.2
2017,600032732,5,91,518.5
2017,600032736,2,38,204
2017,600032738,2,237,613.47
2017,600032742,4,180,1318.2
2017,600032743,1,54,175.23
2017,600032747,2,110,605
2017,600032753,2,40,210
2017,600032754,12,400,1674
2017,600032756,1,25,137.5
2017,600032758,2,360,1999.9
2017,600032759,16,524,2273.88
2017,600032766,2,47,246.75
2017,600032780,1,23,171.95
2017,600032785,3,290,1595
2017,600032787,8,320,1038.4
2017,600032794,14,319,1754.5
2017,600032796,17,626,3837.8
2017,600032801,2,40,210
2017,600032803,1,20,105
2017,600032804,2,121,679.95
2017,600032810,1,48,0
2017,600032811,2,74,374.72
2017,600032812,1,90,292.05
2017,600032815,2,70,359.9
2017,600032817,1,10,69.9
2017,600032819,18,423,2228.27
2017,600032821,3,85,336.05
2017,600032823,1,140,436.8
2017,600032825,7,249,1475.25
2017,600032829,1,48,155.76
2017,600032830,1,220,1145.83
2017,600032838,7,464,2227.2
2017,600032839,5,389,1867.2
2017,600032840,6,582,2811.1
2017,600032841,5,500,2400
2017,600032842,5,389,1867.2
2017,600032846,11,430,1395.35
2017,600032847,1,920,2985.4
2017,600032850,3,82,346.29
2017,600032853,2,593,3024.85
2017,600032859,5,150,899.7
2017,600032869,4,470,1525.15
2017,600032876,19,710,5005.9
2017,600032882,1,160,519.2
2017,600032892,1,100,550
2017,600032894,5,164,882
2017,600032896,1,36,116.82
2017,600032899,1,32,99.84
2017,600032902,9,201,1217.49
2017,600032906,4,454,3007.34
2017,600032908,1,120,898.8
2017,600032909,2,543,1735.08
2017,600032912,2,1040,4506.15
2017,600032917,1,30,165
2017,600032921,1,70,155.75
2017,600032926,1,10,79.9
2017,600032929,1,40,46.82
2017,600032933,13,460,2605.4
2017,600032934,5,350,1135.75
2017,600032937,1,56,419.44
2017,600032938,1,12,113.88
2017,600032942,1,28,92.4
2017,600032944,7,220,814.2
2017,600032946,3,130,421.85
2017,600032949,1,560,1817.2
2017,600032957,8,190,735
2017,600032959,3,150,486.75
2017,600032965,9,243,1723.18
2017,600032967,3,128,455.45
2017,600032968,8,368,1358.22
2017,600032970,2,49,241.3
2017,600032973,1,428,2008.44
2017,600032978,1,516,2671.4
2017,600032979,2,132,999.88
2017,600032980,1,1006,3931.4
2017,600032981,3,77,423.5
2017,600032983,4,90,495
2017,600032988,3,116,414.78
2017,600032997,3,130,530.9
2017,600032999,15,896,3025.7
2017,600033001,3,68,374
2017,600033003,2,2,0
2017,600033005,1,55,181.5
2017,600033020,2,78,426.5
2017,600033023,17,740,2401.3
2017,600033024,13,240,1202
2017,600033028,6,513,2875.55
2017,600033035,4,88,573.03
2017,600033037,7,822,3676.5
2017,600033041,5,279,863.54
2017,600033053,1,205,1177.25
2017,600033054,5,125,656.25
2017,600033061,1,24,203.76
2017,600033063,1,35,246
2017,600033065,1,10,78.5
2017,600033066,3,138,447.81
2017,600033069,1,70,367.5
2017,600033074,3,87,348.9
2017,600033078,1,32,319.68
2017,600033079,1,45,148.5
2017,600033084,1,2,39.9
2017,600033086,8,360,1123.2
2017,600033090,1,30,157.5
2017,600033091,2,55,361.25
2017,600033095,3,46,250.5
2017,600033098,1,28,154
2017,600033099,3,670,2128.45
2017,600033100,5,769,4645
2017,600033105,1,80,259.6
2017,600033107,1,44,137.28
2017,600033109,1,12,101.88
2017,600033114,2,1352,4150.64
2017,600033118,1,80,259.6
2017,600033121,1,438,2409
2017,600033123,3,60,295.32
2017,600033125,4,116,786.3
2017,600033128,4,95,706.9
2017,600033132,3,100,359.6
2017,600033133,2,29,98
2017,600033138,19,460,2161.56
2017,600033143,1,50,162.25
2017,600033145,1,84,377.44
2017,600033146,1,84,209.44
2017,600033152,1,29,159.5
2017,600033153,2,347,1903.5
2017,600033157,2,21,84.85
2017,600033160,1,10,55
2017,600033161,2,110,487.25
2017,600033165,1,1200,3420
2017,600033168,1,140,770
2017,600033170,8,194,1453.06
2017,600033171,4,267,888.27
2017,600033173,5,258,952.11
2017,600033176,19,456,2394
2017,600033186,5,114,613.5
2017,600033193,1,75,202.05
2017,600033199,4,195,1087
2017,600033202,1,207,1138.5
2017,600033203,3,119,654.5
2017,600033205,7,470,2073.1
2017,600033211,1,10,94.9
2017,600033213,3,500,2699.8
2017,600033216,5,730,3766.35
2017,600033220,1,19,99.75
2017,600033225,18,390,2084.9
2017,600033228,4,232,881.78
2017,600033240,2,91,550.25
2017,600033246,1,22,99
2017,600033248,2,70,384.5
2017,600033251,2,80,254.6
2017,600033252,3,248,921.71
2017,600033256,2,300,1580
2017,600033265,1,20,94
2017,600033266,5,214,653.84
2017,600033267,1,20,110
2017,600033270,1,4,46
2017,600033271,7,162,891
2017,600033272,9,314,1171.38
2017,600033273,2,11,78.99
2017,600033277,1,460,2415
2017,600033286,2,153,164.78
2017,600033288,4,195,1482.15
2017,600033290,1,5,16.5
2017,600033292,5,140,603.2
2017,600033299,1,44,142.78
2017,600033303,1,42,131.04
2017,600033306,2,45,353.25
2017,600033308,13,436,1760.62
2017,600033313,1,20,189.8
2017,600033316,1,18,94.5
2017,600033320,1,66,263.78
2017,600033322,2,581,1853.42
2017,600033343,7,383,2185.8
2017,600033344,16,472,2567.76
2017,600033345,5,152,699.44
2017,600033348,10,557,2710.34
2017,600033352,2,58,228.8
2017,600033353,4,67,33
2017,600033356,0,588,3234
2017,600033358,3,93,272.58
2017,600033359,1,4,0
2017,600033360,19,455,1501.5
2017,600033363,1,1,19.95
2017,600033371,5,340,1232.5
2017,600033380,1,50,162.25
2017,600033386,2,268,793.8
2017,600033390,16,395,2172.5
2017,600033393,7,300,974.7
2017,600033394,20,491,2562.95
2017,600033395,1,20,110
2017,600033397,0,508,1422.96
2017,600033400,1,20,105
2017,600033404,2,32,160.7
2017,600033407,1,20,110
2017,600033409,1,25,149.75
2017,600033411,1,55,449.15
2017,600033413,3,169,1060.25
2017,600033419,27,610,3312.78
2017,600033421,1,1310,5616.7
2017,600033427,3,75,412.5
2017,600033431,17,430,0
2017,600033435,2,36,189
2017,600033442,2,53,416.05
2017,600033446,5,250,986.5
2017,600033447,1,24,132
2017,600033455,2,127,436.95
2017,600033456,5,182,859.66
2017,600033460,6,206,912.2
2017,600033461,2,24,162.4
2017,600033463,3,110,496.4
2017,600033474,1,50,101.25
2017,600033483,2,30,132
2017,600033486,2,504,3724.8
2017,600033487,1,12,66
2017,600033490,1,455,2502.5
2017,600033493,1,10,94.9
2017,600033494,18,792,2570.04
2017,600033499,2,120,194.7
2017,600033501,14,354,1663.24
2017,600033508,1,184,0
2017,600033512,1,50,275
2017,600033513,1,598,2211.11
2017,600033515,6,206,971.67
2017,600033519,32,653,3502.45
2017,600033525,2,337,1760.89
2017,600033527,4,300,1545
2017,600033529,1,52,277.94
2017,600033531,15,575,2260.5
2017,600033536,1,56,415.52
2017,600033541,2,150,599.5
2017,600033542,4,133,711.75
2017,600033544,1,60,330
2017,600033551,1,68,212.16
2017,600033554,2,44,187.88
2017,600033556,5,258,1088.92
2017,600033594,2,38,203.5
2017,600033655,4,136,877.79
2017,600033825,6,243,0
2017,600034033,1,246,1589.66
2017,600034205,12,244,1445.18
2017,600034206,2,110,356.95
2017,600034208,7,197,977.9
2017,600034209,5,107,555.4
2017,600034212,5,193,735.42
2017,600034219,3,80,440
2017,600034220,2,45,124.3
2017,600034248,3,80,295.68
2017,600034257,1,30,117.4
2017,600034270,0,174,957
2017,600034272,13,509,3534.09
2017,600034284,1,10,51
2017,600034295,6,165,459.15
2017,600034299,3,90,408.45
2017,600034304,8,242,1223.63
2017,600034305,1,1,34.95
2017,600034315,1,37,194.25
2017,600034316,1,103,667.55
2017,600034321,1,12,111
2017,600034389,7,270,921.25
2017,600034410,3,79,414.75
2017,600034421,1,10,79.9
2017,600034428,4,127,505.53
2017,600034431,1,22,186.78
2017,600034460,6,226,1485.46
2017,600034465,3,109,395.78
2017,600034484,2,88,266.03
2017,600034485,6,104,537.23
2017,600034488,1,4,0
2017,600034501,6,289,1502.16
2017,600034505,1,30,93.6
2017,600034513,2,118,440.36
2017,600034516,8,293,1766.16
2017,600034524,1,54,449.46
2017,600034532,3,86,371.3
2017,600034552,1,11,69.99
2017,600034581,1,19,99.75
2017,600034650,2,29,155.75
2017,600034654,2,48,264
2017,600034659,6,248,773.76
2017,600034671,10,153,841.5
2017,600034672,3,69,0
2017,600034694,1,12,94.2
2017,600034818,0,20,135
2017,600034825,13,409,2128.02
2017,600034827,1,25,131.25
2017,600034828,2,50,268.75
2017,600034830,23,687,3772.25
2017,600034831,23,678,39.9
2017,600034833,1,25,131.25
2017,600034835,1,50,268.75
2017,600034837,15,501,2512.95
2017,600034840,1,25,131.25
2017,600034841,1,25,131.25
2017,600034843,6,216,902.59
2017,600034844,20,535,3334.79
2017,600034845,5,124,666.21
2017,600034846,7,181,982.25
2017,600034847,4,312,1710.5
2017,600034852,1,25,131.25
2017,600034853,4,179,611.73
2017,600034866,7,274,969.68
2017,600034868,16,550,2461.5
2017,600034870,16,799,2715.04
2017,600034874,2,48,129.8
2017,600034879,11,300,1650
2017,600034880,13,870,2597.65
2017,600034882,1,20,110
2017,600034900,15,486,3394
2017,600034902,3,453,1286.4
2017,600034908,1,28,123.2
2017,600034912,2,65,286.1
2017,600034917,1,22,121
2017,600034919,7,287,1578.5
2017,600034924,3,96,441.16
2017,600034927,1,48,155.76
2017,600034928,3,188,601.31
2017,600034929,2,92,275.44
2017,600034932,1,24,132
2017,600034936,2,16,14.99
2017,600034937,3,149,774.4
2017,600034939,2,50,262.5
2017,600034944,1,25,131.25
2017,600034945,17,508,2373.08
2017,600034946,6,230,1492.39
2017,600034947,25,882,4130.18
2017,600034949,23,1185,6172.08
2017,600034951,7,202,1324.65
2017,600034952,2,82,445.5
2017,600034953,1,20,105
2017,600034963,27,738,4059
2017,600034964,30,1523,741.51
2017,600034965,1,100,525
2017,600034967,1,30,165
2017,600034968,24,610,3464.19
2017,600034969,26,848,0
2017,600034970,6,285,1567.5
2017,600034973,1,10,47.95
2017,600034974,3,156,507.98
2017,600034976,2,62,325.5
2017,600034979,2,120,143
2017,600034980,1,34,149.6
2017,600035006,14,313,1721.5
2017,600035008,6,165,878.75
2017,600035017,4,318,802.56
2017,600035018,1,64,336
2017,600035021,1,6,33
2017,600035024,4,129,709.5
2017,600035028,9,250,1140.5
2017,600035030,8,208,1092
2017,600035031,11,280,1336.4
2017,600035035,14,345,1621.05
2017,600035036,9,446,1324.62
2017,600035038,11,396,1812.69
2017,600035040,5,250,1714.15
2017,600035047,6,275,917.5
2017,600035053,1,60,330
2017,600035054,1,52,105.3
2017,600035055,8,279,0
2017,600035056,2,70,284.02
2017,600035057,1,32,176
2017,600035060,1,75,412.5
2017,600035061,3,168,545.16
2017,600035064,1,70,218.4
2017,600035069,1,340,995.06
2017,600035072,1,25,110
2017,600035080,15,643,2096.81
2017,600035081,15,475,2352.38
2017,600035084,1,94,305.03
2017,600035088,1,35,192.5
2017,600035091,18,647,3665.39
2017,600035093,6,900,1404.8
2017,600035094,38,1846,6604.44
2017,600035095,9,462,2032.5
2017,600035097,1,502,0
2017,600035098,9,946,5768.5
2017,600035101,27,687,4222.1
2017,600035102,1,334,1837
2017,600035103,6,169,830.28
2017,600035105,21,605,3327.5
2017,600035107,1,850,3028.85
2017,600035109,0,110,605
2017,600035110,28,825,5078.25
2017,600035111,19,547,1579.95
2017,600035120,9,548,2327.3
2017,600035121,1,488,2400.3
2017,600035123,1,27,148.5
2017,600035124,1,540,2835
2017,600035126,14,1094,2809.46
